Issue ID,Source,Factual problem,Classification,Disposition,Cutover blocker,Affected components,Required guarantee,Acceptance evidence,Phase,Status,Dependencies
OPS-035,ops-issues.md claimed independent reconciliation membership,"Current expected reconciliation membership can be derived from existing projection mappings, which is circular for detecting omitted mappings.",Cutover gap,fix,Yes,Reconciliation worker/transition; task projection mappings; release validation; final report,Expected corpus is independently enumerated from canonical PG tasks plus complete external Asana corpus boundary.,Delete/omit a mapping and reconciliation still reports the missing/unknown object; final report records independent corpus identity.,3,Not started,CUT-008 and final import report.
OPS-036,ops-issues.md claimed final-evidence completion gate; direct current inspection,The prior claim is stale: current `complete_cutover()` rebuilds and validates a current `cutover_final` bundle before setting `completed`.,Verified implementation,retain,Yes,`cutover_control.complete_cutover`; evidence bundle validation; Stage 8 tests,"Terminal completion cannot carry stale, partial, mismatched, or invalidated evidence.",Mutation/invalidation after first-admission verification makes completion fail; fresh complete bundle succeeds.,5,Complete,Replacement cutover record must retain fresh terminal validation.
OPS-037,ops-issues.md claimed offline Alembic version-width mismatch,Offline SQL/version-table width compatibility is not independently verified against the current 0029 head and planned squash.,Verification item,verify,No,Alembic env; version table DDL; offline SQL tests; target migration,Revision identifiers fit the version table in online and offline modes and generated SQL is executable.,Offline `alembic upgrade head --sql` output creates/updates a version table that accepts the current revision and executes on a clean target.,1,Investigating,Run offline generation now; redesign during squash.
OPS-038,ops-issues.md claimed external-effect ABA protection,"Projection observation proves an intended state, but no complete proof was found that an external object version did not change away and back between dispatch and observation.",Deferred feature,defer,No,Projection attempt/observation payloads; Asana version/modified-at data; reconciliation,External-effect settlement does not falsely attribute an ABA state to the current attempt when that distinction matters.,"Either adapter stores/compares a monotonic external version in dispatch/reread tests, or approved Stage A risk acceptance is documented.",6,Ready,Concrete Asana adapter capabilities.
OPS-039,ops-issues.md claimed PostgreSQL contention classification,"No complete mapping was found from SQLSTATE `23505`, `40P01`, and `40001` to the approved retry/conflict behavior at service boundaries.",Runtime gap,verify,No,PG transaction/service exception mapping; HTTP envelopes; native contention tests,Expected contention is reported deterministically and retried only where safe; uncertain effects remain fail-closed.,"Native tests induce unique conflict, deadlock, and serialization failure and assert exact response/retry semantics.",3,Investigating,Deployable service transaction boundary.
OPS-040,ops-issues.md claimed shared process lock; direct current inspection,"The prior claim is stale: `DatabaseProcessLock` is acquired by service, local CLI, and local admin for the governed SQLite database lifetime.",Verified implementation,retain,No,`dish_service/process_lock.py`; service main; CLI/admin CLI; lock tests,Only one mutable legacy process owns the governed database at a time.,Cross-process service/CLI/admin lock contention tests pass and lock releases on normal/abnormal termination.,0,Complete,Legacy path only; writer fence remains cutover control.
OPS-041,ops-issues.md claimed backup ambiguity/rename fault; PostgreSQL test plan §2,Rename-fault and reservation recovery behavior remains untested in the required backup/restore exercise.,Verification item,verify,No,Backup creation journal; filesystem rename; reservation/recovery; test plan §2,A crash at any rename/commit boundary yields one classifiable durable outcome and no unsafe automatic retry.,Fault injection covers each rename/commit boundary and recovery classifies one durable state without duplicate creation.,5,Blocked,OPS-002 production-shaped backup exercise.
OPS-042,ops-issues.md claimed migration-target helper wrong head; direct current inspection,"The prior claim is stale: current helpers use `ALEMBIC_HEAD`, and release/bootstrap/tests assert `0029_cutover_authority_admission_fixes`.",Verified implementation,retain,No,`dish_pg/release.py`; bootstrap; test support; Stage 6 runbook,Certification and migration helpers target the actual unique head.,Head derivation/identity tests pass and no helper hard-codes an obsolete final target.,1,Complete,STR-002 will replace head after squash.
OPS-043,ops-issues.md claimed commit-before-response harness; PostgreSQL test plan §1,No production-shaped harness has demonstrated response loss after commit followed by exact replay without duplicate effect.,Verification item,verify,Yes,PG service transport; request outcome; process failure injection; projection adapter,First authoritative outcome is replayed after transport/process loss and external effects are not repeated.,"Deterministic §1 harness kills/drops response after commit, restarts, replays same ID, and asserts one DB/effect outcome.",4,Blocked,Deployable authority and concrete adapter.
OPS-044,ops-issues.md hygiene: semantic diagnostic mappings,Completeness of `_semantic_relationship` diagnostic mappings against all semantic invariants has not been verified.,Verification item,verify,No,Semantic validation/diagnostic code and tests,Every invariant failure maps to stable actionable diagnostics; unknown cases fail explicitly.,Enumerated invariant-to-diagnostic coverage test has no missing/duplicate mapping.,6,Not started,Not a cutover blocker unless touched by target parity.
OPS-045,ops-issues.md hygiene: admin command metadata,"Admin command metadata remains distributed across admin implementation, CLI, and application routing.",Excess,merge,No,`dish_tool/admin.py`; `admin_cli.py`; service application; admin command spec/tests,"One canonical admin definition drives validation, routing, help, request identity, and tests.",Generated/derived metadata synchronization tests pass and duplicate command sets are removed.,6,Not started,Canonical command work STR-004.
OPS-046,ops-issues.md hygiene: submission authority imported from step9,Read-only submission/destination authority still depends on an implementation-step module rather than a stable domain boundary.,Excess,merge,No,Submission/destination modules; `step9`; read models/tests,Authority reads use a stable domain module with unchanged semantics.,Import graph test shows no production dependency on implementation-step modules; submission tests pass.,6,Not started,Post-cutover cleanup unless touched.
OPS-047,ops-issues.md hygiene: stale shadow_worker.py.orig; direct tree inspection,The claimed stale `dish_pg/shadow_worker.py.orig` file is absent from the supplied current tree.,Factual correction,delete,No,Repository tree,No obsolete duplicate implementation is packaged or imported.,Fresh tree search finds no `.orig` file and packaging tests exclude editor backups.,1,Complete,None.
OPS-048,ops-issues.md hygiene: ORM indexes,The claim that three migration indexes lack ORM declarations was not independently re-derived against current 102-table metadata.,Verification item,verify,No,ORM metadata; migration indexes; `test_orm_migration_index_alignment.py`,"ORM and target migration express the same retained indexes, or intentional DB-only indexes are documented.",Automated index diff names zero unexplained differences after target schema approval.,1,Investigating,Run current alignment test and redesign during squash.
OPS-049,ops-issues.md hygiene: nested continuation exposes verify,A nested continuation may expose internal `verify` rather than approved public `inspect`; current behavior is not fully traced.,Verification item,verify,No,Allowed-action/read-model construction; CLI/Action responses; GPT instructions/tests,Only approved public command names are exposed to clients.,Repository-wide response snapshots contain no `verify` action; internal state naming may remain private.,1,Investigating,LIVE-001 and OPS-034.
OPS-050,ops-issues.md hygiene: Stage 6 runbook stale head; direct current inspection,The prior stale-head claim is resolved: the current Stage 6 runbook consistently names migration head `0029_cutover_authority_admission_fixes`.,Factual correction,retain,No,`docs/database-backend-stage6-runbook.md`; operations evidence tests,Runbooks name the actual unique schema head.,Head synchronization test and direct search pass.,1,Complete,Update during squash STR-002.
OPS-051,ops-issues.md hygiene: DishService typed seams,"Some coordinators still accept `service: Any`, leaving authority dependencies less mechanically explicit.",Deferred feature,defer,No,Service coordinator type annotations/protocols; static checks/tests,Runtime authority boundaries remain correct; later typing makes them mechanically reviewable.,Protocols replace `Any` at touched seams and static/type-focused tests pass.,6,Ready,No cutover impact unless service composition refactor touches the seam.
OPS-052,ops-issues.md Docs needing refresh: production change ledger,`database-backend-production-change-ledger.md` records an old reviewed commit range and is not authoritative for current repository facts.,Documentation gap,defer,No,Production change ledger; new cutover matrix/inventory,"Current cutover decisions rely on repository evidence and immutable reports, not a stale narrative ledger.",Ledger is archived/labeled historical or regenerated from the final change set; no current runbook treats it as complete.,6,Ready,Do not expand ledger machinery during Phase 1.
OPS-053,ops-issues.md Docs needing refresh: database-backend-imp.md,`database-backend-imp.md` is reasonably current and already states production work is outstanding; no factual correction is required.,Documentation status,retain,No,`docs/database-backend-imp.md`,Implementation status remains truthful about offline plumbing versus production completion.,Final documentation consistency review finds no contradiction with this matrix.,1,Complete,Recheck after runtime implementation.
KNOWN-001,known-issues.md,The large-correction route is used for pre-Dish migration backfill rather than a material recipe change.,Known issue,retain,No,Legacy migration/backfill and correction routing; audit/tests,Backfill remains explicit/auditable and does not weaken ordinary correction authorization.,Migration test proves route is limited to backfill context and ordinary material changes retain normal policy.,6,Active,Do not silently close because source path may later retire.
WFIX-001,wont-fix.md: connected reproduction fault-injection coverage gap,Connected reproduction does not fault-inject every external failure boundary.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Operational safety relies on deterministic local/native coverage plus bounded connected rehearsal.,Run retained required connected cases and keep accepted gap documented.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-002,wont-fix.md: connected UUID schema visibility,Connected GPT UI verification of every UUID schema detail is not automated.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Checked OpenAPI and connected import review preserve UUID constraints.,Schema sync tests pass and connected review records visible constraints.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-003,wont-fix.md: generated SDK plus real schema composite test,No generated-SDK/real-schema composite test is required.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Canonical OpenAPI/client contract tests prevent drift without adding a second generated SDK authority.,Existing command/API contract lane covers generated schema and bundled clients.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-004,wont-fix.md: service database-unavailable historical attribution,Database-unavailable failures cannot always be durably attributed when the authority DB itself is unavailable.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",The service fails closed and does not invent durable attribution.,Failure response/log tests prove no mutation proceeds and limitation remains documented.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-005,wont-fix.md: private planning reopen,Private planning reopen remains an accepted non-public/admin behavior.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",It cannot bypass authorization or become a public mutation route.,Exposure tests keep it off public Action surface and audit tests pass.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-006,wont-fix.md: expired lease versus permanent abandonment,Expired lease and permanent abandonment remain distinct accepted concepts.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Safe reclaim never equates expiry with permanent abandonment.,Recovery/abandonment transition tests preserve the distinction.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-007,wont-fix.md: private Evidence/Human Review resolution,Some Evidence/Human Review resolution remains private/admin rather than connected Action behavior.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces","Decisions remain durable, attributable, and separate from application.",Admin lifecycle and audit tests pass; public exposure remains intentionally absent.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-008,wont-fix.md: connected request status inspection,No connected public request-status inspection command is required.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Exact replay and admin/private inspection provide safe recovery without broadening public surface.,Replay/admin tests pass and Action schema omits the command.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
WFIX-009,wont-fix.md: pending task creation recovery,A separate public pending-task-creation recovery feature is not required.,Deferred feature,defer,No,"Referenced legacy/PG service, admin, test, or connected surfaces",Create remains replay-safe; ambiguous projection is resolved by correlation/reconciliation/admin recovery.,Create correlation and recovery tests pass without duplicate task creation.,6,Complete,Accepted scope; revisit only with a new product decision or failed guarantee.
TEST-001,`.test-artifacts/stage-a-acceptance/report.json`,"Archived Stage A acceptance is failed because six source-only commands lack target cutover treatment; production acceptance, native certification, PGlite evidence, and operational rehearsal are all false.",Acceptance failure,fix,Yes,Acceptance runner/report; baseline treatment; semantic review commands; certification/rehearsal evidence,"Acceptance reports distinguish source contract, native certification, and production rehearsal and fail until all mandatory gates pass.","Fresh report has `passed=true`, no untreated source-only commands, native certification true from the native lane, and production rehearsal evidence attached.",4,Blocked,"CUT-001, OPS-001/002/004, TEST-006."
TEST-002,`.test-artifacts/stage-a-acceptance/report.json`; `test_fail_closed_admission_outbox.py`,"Archived focused and smoke gates fail because a test directly changes admission to `open`, which migration `0029` now correctly rejects until verified first admission.",Test defect,fix,No,Stage A test fixture; admission guard; acceptance runner,The test asserts current approved admission semantics rather than bypassing them.,Update fixture/test to perform the legal verified-first-admission transition or assert the rejection; focused/smoke gates pass.,1,Not started,Do not weaken migration guard to satisfy stale test.
TEST-003,`.test-artifacts/mutation-sample/summary.json`,All four mutation-sample cases ended in infrastructure errors because temporary mutant trees omitted the `test_selection` package; no mutant was meaningfully killed or survived.,Test infrastructure defect,fix,No,Mutation runner/copy manifest; `test_selection`; four Stage A invariants,"Mutation results reflect invariant sensitivity, not collection/import failure.","Fresh sample copies all required packages, collects successfully, and each mutant is classified killed/survived with zero infrastructure errors.",1,Not started,Test governance package discovery.
TEST-004,Archived flake artifacts; `docs/testing.md` current classification,"Historical planning-intent concurrency artifacts contain intermittent `INTERNAL_ERROR`, but current testing guidance records the root SQLite backup/schema snapshot race as fixed and no test remains quarantined.",Historical test issue,retain,No,Planning-intent test; backup snapshot fix; flake artifacts/guidance,Previously flaky concurrency remains in the normal blocking suite and failures are treated as correctness regressions.,Current normal/flake lanes repeatedly pass the formerly affected test; no stale quarantine marker remains.,1,Complete,Preserve historical artifacts as provenance only.
TEST-005,`.test-artifacts/pglite/report.json`,The archived PGlite report passes 33 tests but explicitly sets native PostgreSQL certification false.,Verification item,retain,No,PGlite runner/report; testing docs,PGlite evidence is used only for development migration checks and never substitutes for native server behavior.,Report schema and acceptance logic keep native certification false for PGlite runs.,4,Complete,TEST-006 remains required.
TEST-006,testing.md; acceptance report; ops local validation,No successful current native PostgreSQL certification report or production operational rehearsal is present in the archive.,Acceptance gap,verify,Yes,Native certification runner/inventory; PG DSN; production-shaped topology; reports,"Locking, triggers, SQLSTATE behavior, concurrency, and server semantics are certified on native PostgreSQL before cutover.",Governed native report executes exact inventory with zero failures/unapproved skips and is referenced by production acceptance.,4,Blocked,Native PostgreSQL infrastructure and runtime completion.
FRONT-A-01,frontend-gate-a-readiness.md A-01; frontend-stage2-runtime-decisions.md,"Canonical-origin, no-forwarded-trust, and request-order decisions are documented, but no validating configuration or singleton-header admission implementation exists.",Frontend review gap,defer,No,Frontend service configuration; request admission; private listener; origin/Host/fetch-metadata validation,Future browser admission fails closed in the documented order without trusting forwarded authority.,"Stage 2 admission tests cover valid and duplicate/malformed singleton headers, wrong origin/Host/fetch metadata, order, and no expensive work before rejection.",6,Blocked,Post-cutover frontend Stage 2 authorization; Gate A.
FRONT-A-02,frontend-gate-a-readiness.md A-02,"Frontend route ownership and security-header policy are specified, but the service has no frontend routes, static/HTML delivery, or dedicated response writer.",Frontend review gap,defer,No,Private `DishHTTPServer`; Action listener isolation; frontend routes/assets/HTML; security headers,Frontend routes exist only on the private listener and cannot alter or leak onto the Action surface.,HTTP isolation tests prove every frontend route/schema is private-only and emits the approved bounded headers and body types.,6,Blocked,FRONT-A-01 and post-cutover frontend implementation.
FRONT-A-03,frontend-gate-a-readiness.md A-03,"Only bearer-token authentication exists; Argon2id password verification, browser sessions, cookies, CSRF, and lifecycle services are absent.",Frontend review gap,defer,No,Frontend auth/security/session services; password state; cookie/CSRF handling; browser lifecycle,"Browser authentication remains separate from agent/admin/Action bearer authority and is fail-closed across login, bootstrap, logout, expiry, and replacement.","Security integration and browser acceptance tests cover correct/wrong credentials, CSRF, fixed expiry, replacement, restart, logout loss, and scope isolation.",6,Blocked,"FRONT-A-04, FRONT-A-05, FRONT-A-09, FRONT-A-11."
FRONT-A-04,frontend-gate-a-readiness.md A-04; frontend-db-migration-reconciliation.md,"No frontend session, security-generation, limiter, password-state, or frontend-security-audit persistence exists in the current PostgreSQL model set.",Frontend schema gap,defer,No,Future frontend support migrations/tables; PostgreSQL target schema; restore-fence binding,Frontend support state remains non-authoritative for Dish workflow and is bound to independently current security authority.,"A separately reviewed post-cutover migration, ORM/schema contract, ownership tests, and restore exercise prove support tables cannot authorize task/workflow mutation.",6,Blocked,Stable post-cutover PG head and Gate A schema review.
FRONT-A-05,frontend-gate-a-readiness.md A-05; frontend-test-deployment-readiness.md,"No destructive-restore/PITR invalidation fence is designed for future browser sessions, so restored session rows could revive superseded authority.",Frontend recovery gap,defer,No,External restore fence; frontend security generation/session validation; backup/PITR runbook,Restoring PostgreSQL alone cannot make an old browser session valid again.,Production-shaped restore/PITR test restores session rows while the independently current fence remains advanced and every restored session is rejected.,6,Blocked,OPS-002 and FRONT-A-04.
FRONT-A-06,frontend-gate-a-readiness.md A-06,"Frontend request framing, cookie rules, and response headers are specified, but only the generic JSON command writer exists.",Frontend review gap,defer,No,Frontend parser/writer; route-specific limits/errors; cache/cookie/security headers,Browser request/response framing is distinct from agent/admin/Action envelopes and enforces route-specific bounds.,"Contract tests prove media types, duplicate rejection, body limits, cache policy, cookies, redirects, and error concealment for each route.",6,Blocked,FRONT-A-01 and FRONT-A-02.
FRONT-A-07,frontend-gate-a-readiness.md A-07,The frontend OpenAPI document and generated client are checked only within `frontend/`; the service neither serves nor synchronizes that contract.,Frontend contract gap,defer,No,`frontend/openapi/frontend.openapi.json`; generated client/validators; private schema route; sync tests,The authenticated private schema and generated browser validators have one exact versioned source without affecting the Action schema.,Repository sync checks and authenticated HTTP tests prove exact bytes/version on the private route and 404 on the Action listener.,6,Blocked,FRONT-A-02 and FRONT-A-03.
FRONT-A-08,frontend-gate-a-readiness.md A-08; frontend-pre-db-handoff.md,"The browser remains fixture-only and lacks session bootstrap, fixed-expiry handling, concealment, logout retry state, and cross-tab invalidation.",Frontend implementation gap,defer,No,Frontend auth feature modules; browser state/storage; fixture review mode; acceptance cases,"Browser state never displays protected data before valid bootstrap and clears coherently on expiry, replacement, logout, and cross-tab invalidation.",Stage 2 browser acceptance corpus passes against the real private service with fixture mode disabled.,6,Blocked,FRONT-A-03 and deployable frontend test origin.
FRONT-A-09,frontend-gate-a-readiness.md A-09,The pinned dependency set contains no Argon2 implementation or validated production cost bounds.,Frontend dependency gap,defer,No,Python dependencies; startup configuration; password verifier; cost tests,Password verification uses an approved pinned Argon2id implementation with bounded startup-validated parameters.,"Dependency lock/check, parameter floor/ceiling tests, startup failure tests, and operational-cost measurements pass.",6,Blocked,Frontend Stage 2 dependency approval.
FRONT-A-10,frontend-gate-a-readiness.md A-10; frontend-test-deployment-readiness.md,"Dedicated browser hostname, HTTPS/HSTS termination, and deployment wiring are not provisioned or represented in operational evidence.",Frontend deployment gap,defer,No,Environment examples; HTTPS/tailnet routing; service listener; HSTS owner; deployment evidence,Browser credentials and protected data use one dedicated canonical HTTPS origin isolated from the Action hostname.,"Production-shaped test deployment records hostname/certificate/HSTS ownership, loopback-only service exposure, route isolation, and no plaintext credential endpoint.",6,Blocked,"FRONT-A-01, FRONT-A-02, and local deployment provisioning."
FRONT-A-11,frontend-gate-a-readiness.md A-11,No guarded password provisioning/rotation command or shared password length/counting/distinctness rule exists.,Frontend operations gap,defer,No,Operator CLI; password-state persistence; shared validator; session invalidation; audit,"Provisioning/rotation is explicit, non-logging, rejects every configured-secret equality, and invalidates all sessions transactionally.","Operator-command tests cover initial provision, rotation, rollback/failure, counting rules, secret distinctness, audit redaction, and session invalidation.",6,Blocked,"FRONT-A-03, FRONT-A-04, FRONT-A-09."
FRONT-A-12,frontend-gate-a-readiness.md A-12; frontend-gate-a-review.md,Independent Gate A review has not occurred; the review record remains pending.,Review gate,verify,No,Gate A packet/review record; exact build/schema/contract identity; independent reviewer,Frontend Stage 2 is not authorized by its author and is reviewed against an exact build and schema.,"An independent reviewer records identity, resolves every A finding, and marks Gate A PASS before Stage 2 authorization.",6,Blocked,FRONT-A-01 through FRONT-A-11.
FRONT-B-01,frontend-gate-b-source-map.md B-01; frontend-pre-db-handoff.md; frontend-db-migration-reconciliation.md,"Frontend database reconciliation is tied to stale checked-in head `0012`, not the exact activated production schema/closed ledger.",Frontend handoff gap,verify,No,Final Alembic head; schema fingerprint; source release/ledger; Gate B source map,Frontend read-contract decisions are reconciled only against the exact post-cutover production authority.,"The final rollout record names head, source release, closed ledger, schema fingerprint, frontend support revisions, indexes, plans, decisions, reviewer, and date.",6,Blocked,PostgreSQL cutover completion and production ledger closure.
FRONT-B-02,frontend-gate-b-source-map.md B-02; frontend-db-migration-reconciliation.md decision 1,"`PostgresReadModel.section_tasks()` includes completed tasks, exposes technical/external identities, is per-section, and does not settle isolated-task eligibility or coherent attention facts.",Frontend read-model gap,defer,No,`dish_pg/read_model.py`; future board query service/DTO; eligibility policy; query tests,A coherent set-oriented board snapshot applies the approved eligibility predicate and exposes only browser-safe factual DTOs.,"Gate B-approved query tests cover incomplete/current membership, isolated-task decision, one evaluation time, all sections, stable order, no duplicates, and no raw identities.",6,Blocked,FRONT-B-01 and approved eligibility decision.
FRONT-B-03,frontend-gate-b-source-map.md B-03; frontend-db-migration-reconciliation.md decision 5,No browser-safe task/section route-identity authority exists; storage/encoding and rotation behavior remain undecided.,Frontend identity gap,defer,No,Future route-identity codec/table; task/section identities; normalization/rotation; DTOs,"Browser identities are bounded, environment/type scoped, non-raw, normalizable, unique, and safely rotatable.","Wrong-type/environment, collision, retirement, legacy-normalization, routine rotation, and no-raw-ID tests pass against the approved representation.",6,Blocked,FRONT-B-01 and route-identity product decision.
FRONT-B-04,frontend-gate-b-source-map.md B-04; frontend-db-migration-reconciliation.md decision 2,The frontend terms invalid lease and contested lease have no exact named durable predicate in the current schema.,Frontend semantic gap,defer,No,`service_leases`; future predicate/read-support registry; board/detail attention DTOs,Lease attention is derived only from approved named durable facts and never relabels ordinary released/recovered states.,Positive/negative/boundary and policy-equivalence tests prove the exact approved expired/invalid/contested predicate and disclosure mapping.,6,Blocked,Gate B policy decision; any support migration after FRONT-B-01.
FRONT-B-05,frontend-gate-b-source-map.md B-05; frontend-db-migration-reconciliation.md decision 3,Verification failed/disputed attention does not resolve unambiguously from current lifecycle/outcome fields; current-cycle precedence is undefined.,Frontend semantic gap,defer,No,Verification cycles/outcomes; Human Review requirements; workflow operations; attention registry,Frontend verification attention exactly matches approved workflow/review authority and excludes ordinary pending/in-progress states.,"Versioned predicate/equivalence tests cover failed, disputed, awaiting human review, cycle precedence, terminal states, and matching detail disclosures.",6,Blocked,Gate B semantic decision and CUT-001 target Human Review contract.
FRONT-B-06,frontend-gate-b-source-map.md B-06,No single task-scoped durable relation names an unresolved recovery requirement; current command paths compute transient results only.,Frontend read-support gap,defer,No,Recovery outcomes; abandonment/projection facts; future frontend recovery read support; board/detail DTOs,"Recovery attention is a named open/resolved fact derived transactionally from governing recovery evidence, not inferred from phase or failure text.","Transition/equivalence tests prove open/resolved lifecycle, no false inference, coherent board/detail disclosure, and no mutation authority in support state.",6,Blocked,Approved recovery product meaning and post-cutover support migration.
FRONT-B-07,frontend-gate-b-source-map.md B-07; frontend-db-migration-reconciliation.md decision 4,"Projection presentation has no accepted reducer, delay threshold, readiness source, latest-event rule, or precedence for delayed/failed/drifted/unknown/unavailable/current/not-configured.",Frontend semantic gap,defer,No,Projection epochs/mappings/events/attempts/observations/adjudications/drift; readiness; presentation registry,One versioned reducer maps durable projection facts and readiness to exactly one approved presentation state at one evaluation time.,"Exhaustive precedence, threshold-boundary, latest-event, not-applied, readiness outage, and policy-equivalence tests pass.",6,Blocked,CUT-007 through CUT-010 and Gate B projection decision.
FRONT-B-08,frontend-gate-b-source-map.md B-08,"`PostgresReadModel.task_view()` exposes legal actions/raw technical identities, hard-codes projection `not_configured`, and performs multiple scalar workflow queries.",Frontend read-model gap,defer,No,`dish_pg/read_model.py`; future detail query/factual service; browser DTO; projection/advisory services,"Browser detail is bounded, factual, read-only, non-authorizing, coherent, and contains no raw IDs or `legal_actions`.","Detail contract/query tests enforce eligibility, fixed query count, bounds, approved disclosures/advisories, projection reducer, and DTO exclusion corpus.",6,Blocked,FRONT-B-02 through FRONT-B-07.
FRONT-B-09,frontend-gate-b-source-map.md B-09,"No checked-in versioned backend registry exists for frontend attention, disclosures, advisories, or projection presentation.",Frontend contract gap,defer,No,Backend registries; frontend OpenAPI; generated browser validators; query/detail builders,Every browser code/label/severity has one synchronized bounded backend definition and exact governing predicate.,Generation/synchronization tests fail on drift; registry versions change on semantic/presentation changes; unknown codes are rejected.,6,Blocked,FRONT-B-04 through FRONT-B-08 and FRONT-A-07.
FRONT-B-10,frontend-gate-b-source-map.md B-10; frontend-db-migration-reconciliation.md index evidence,"No bounded-query, query-plan, response-size, or execution-time evidence exists for board bootstrap, continuation, or detail against the final PostgreSQL schema.",Frontend performance gap,defer,No,Board/detail SQL; indexes; representative fixtures; EXPLAIN evidence; limits/errors,"Frontend reads are set-oriented, fixed-query-count, index-supported, bounded, and fail with closed capacity errors.","Final-schema `EXPLAIN (ANALYZE, BUFFERS)`, query-count, large-fixture size/time, pagination, and capacity-bound tests meet approved budgets.",6,Blocked,FRONT-B-01 and implemented board/detail services.
FRONT-B-11,frontend-gate-b-source-map.md B-11; frontend-db-migration-reconciliation.md decision 6,"Browser board snapshot, section continuity, and bounded retry-safe cursor semantics are not implemented; stateless versus server-side cursor authority is undecided.",Frontend continuation gap,defer,No,Snapshot/continuity builders; cursor codec/store; section/task route identities; pagination DTOs,"Snapshot/continuity equality has exact contract meaning and cursors are opaque, scoped, tamper-resistant, expiring, retry-safe, and bounded.",Deterministic change matrix plus malformed/wrong-scope/expired/stale/retry/storage-outage/cleanup tests pass for the approved cursor representation.,6,Blocked,"FRONT-B-02, FRONT-B-03, FRONT-B-09, and cursor product decision."
FRONT-B-12,frontend-gate-b-source-map.md B-12; frontend-gate-b-review.md,Independent Gate B review has not occurred for board or detail scope.,Review gate,verify,No,Gate B source map/review record; final schema; governing policy; exact build; reviewer,No frontend board/detail stage proceeds without independent scope-specific acceptance against final authority and contracts.,"Independent reviewer resolves B-01 through B-12, records exact identities, and marks the applicable board/detail scope PASS.",6,Blocked,FRONT-B-01 through FRONT-B-11 and FRONT-A-12.
